route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AK-03,FULL,AK-03-5-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-5-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-5-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-6-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-6-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-6-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-6-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-6-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-6-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-7-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-7-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-7-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-7-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-7-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-7-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-8-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-8-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-8-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-8-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-8-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-8-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-9-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-9-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-9-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-9-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-9-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-9-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-10-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-10-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-10-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-10-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-10-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-10-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-11-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-11-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-11-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-11-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-11-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-11-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-12-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-12-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-12-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-12-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-12-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-12-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-13-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-13-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-13-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-13-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-13-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-13-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-14-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-14-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-14-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-14-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-14-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-14-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-15-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-15-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-15-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-15-30,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-15-40,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-15-50,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-16-0,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-16-10,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-16-20,AK-03,,,,AK-03,2,2
AK-03,FULL,AK-03-16-30,AK-03,,,,AK-03,2,2
